param_name,biome,forcing,criteria,variable,measure,x
default,Temperate rain forest,CTL2010,Q2M_mean_Temperate rain forest,Q2M,mean,1.3693995798053975e-05
default,Temperate rain forest,CTL2010,Q2M_iav_Temperate rain forest,Q2M,iav,2.157045563868701e-07
default,Temperate seasonal forest,CTL2010,Q2M_mean_Temperate seasonal forest,Q2M,mean,0.000537690685068848
default,Temperate seasonal forest,CTL2010,Q2M_iav_Temperate seasonal forest,Q2M,iav,8.388092914608045e-06
default,Woodland/shrubland,CTL2010,Q2M_mean_Woodland/shrubland,Q2M,mean,0.0008236317174545871
default,Woodland/shrubland,CTL2010,Q2M_iav_Woodland/shrubland,Q2M,iav,2.0953557122685043e-05
default,Temperate grassland/desert,CTL2010,Q2M_mean_Temperate grassland/desert,Q2M,mean,0.00032167317100883054
default,Temperate grassland/desert,CTL2010,Q2M_iav_Temperate grassland/desert,Q2M,iav,6.815104513129198e-06
default,Boreal forest,CTL2010,Q2M_mean_Boreal forest,Q2M,mean,0.0003442174633430047
default,Boreal forest,CTL2010,Q2M_iav_Boreal forest,Q2M,iav,6.510557094418891e-06
default,Tundra,CTL2010,Q2M_mean_Tundra,Q2M,mean,0.00021429810149129692
default,Tundra,CTL2010,Q2M_iav_Tundra,Q2M,iav,5.369735698586042e-06
default,Ice sheet,CTL2010,U10_mean_Ice sheet,U10,mean,0.06480332756360373
default,Ice sheet,CTL2010,U10_iav_Ice sheet,U10,iav,0.001792059634681152
default,Tropical rain forest,CTL2010,U10_mean_Tropical rain forest,U10,mean,0.05422408216462067
default,Tropical rain forest,CTL2010,U10_iav_Tropical rain forest,U10,iav,0.0018623150947679244
default,Tropical seasonal forest/savanna,CTL2010,U10_mean_Tropical seasonal forest/savanna,U10,mean,0.5059292807678569
default,Tropical seasonal forest/savanna,CTL2010,U10_iav_Tropical seasonal forest/savanna,U10,iav,0.005175880603623707
default,Subtropical desert,CTL2010,U10_mean_Subtropical desert,U10,mean,0.6326548753905407
default,Subtropical desert,CTL2010,U10_iav_Subtropical desert,U10,iav,0.0034730880114066357
default,Temperate rain forest,CTL2010,U10_mean_Temperate rain forest,U10,mean,0.006995776042900225
default,Temperate rain forest,CTL2010,U10_iav_Temperate rain forest,U10,iav,0.0005851788503134604
default,Temperate seasonal forest,CTL2010,U10_mean_Temperate seasonal forest,U10,mean,0.22751129995115962
default,Temperate seasonal forest,CTL2010,U10_iav_Temperate seasonal forest,U10,iav,0.001969766299284095
default,Woodland/shrubland,CTL2010,U10_mean_Woodland/shrubland,U10,mean,0.41363983419394207
default,Woodland/shrubland,CTL2010,U10_iav_Woodland/shrubland,U10,iav,0.004753854501292927
default,Temperate grassland/desert,CTL2010,U10_mean_Temperate grassland/desert,U10,mean,0.22734189008117692
default,Temperate grassland/desert,CTL2010,U10_iav_Temperate grassland/desert,U10,iav,0.003366467655696972
default,Boreal forest,CTL2010,U10_mean_Boreal forest,U10,mean,0.26648369229012536
default,Boreal forest,CTL2010,U10_iav_Boreal forest,U10,iav,0.003698749765809594
default,Tundra,CTL2010,U10_mean_Tundra,U10,mean,0.2642352943948051
default,Tundra,CTL2010,U10_iav_Tundra,U10,iav,0.0019327135069920893
default,Ice sheet,CTL2010,TAUX_mean_Ice sheet,TAUX,mean,-0.0005655471611500283
default,Ice sheet,CTL2010,TAUX_iav_Ice sheet,TAUX,iav,3.271800184287682e-05
default,Tropical rain forest,CTL2010,TAUX_mean_Tropical rain forest,TAUX,mean,-0.0034360911903516395
default,Tropical rain forest,CTL2010,TAUX_iav_Tropical rain forest,TAUX,iav,0.0004769509425152969
default,Tropical seasonal forest/savanna,CTL2010,TAUX_mean_Tropical seasonal forest/savanna,TAUX,mean,-0.017282631353139514
default,Tropical seasonal forest/savanna,CTL2010,TAUX_iav_Tropical seasonal forest/savanna,TAUX,iav,0.00035615730277931205
default,Subtropical desert,CTL2010,TAUX_mean_Subtropical desert,TAUX,mean,-0.00784056342161311
default,Subtropical desert,CTL2010,TAUX_iav_Subtropical desert,TAUX,iav,0.0002536064708174277
default,Temperate rain forest,CTL2010,TAUX_mean_Temperate rain forest,TAUX,mean,-0.0006003477183080996
default,Temperate rain forest,CTL2010,TAUX_iav_Temperate rain forest,TAUX,iav,0.0001167872304798768
default,Temperate seasonal forest,CTL2010,TAUX_mean_Temperate seasonal forest,TAUX,mean,-0.012085547081370811
default,Temperate seasonal forest,CTL2010,TAUX_iav_Temperate seasonal forest,TAUX,iav,0.00027125496098616067
default,Woodland/shrubland,CTL2010,TAUX_mean_Woodland/shrubland,TAUX,mean,-0.01122649814199874
default,Woodland/shrubland,CTL2010,TAUX_iav_Woodland/shrubland,TAUX,iav,0.0005933088886461019
default,Temperate grassland/desert,CTL2010,TAUX_mean_Temperate grassland/desert,TAUX,mean,-0.0035000537072224737
default,Temperate grassland/desert,CTL2010,TAUX_iav_Temperate grassland/desert,TAUX,iav,0.00014127005469017902
default,Boreal forest,CTL2010,TAUX_mean_Boreal forest,TAUX,mean,-0.009728805605785875
default,Boreal forest,CTL2010,TAUX_iav_Boreal forest,TAUX,iav,0.0002017322162408628
default,Tundra,CTL2010,TAUX_mean_Tundra,TAUX,mean,-0.0035971331237595536
default,Tundra,CTL2010,TAUX_iav_Tundra,TAUX,iav,9.28123880030495e-05
default,Ice sheet,CTL2010,TAUY_mean_Ice sheet,TAUY,mean,-0.0005655471611500283
default,Ice sheet,CTL2010,TAUY_iav_Ice sheet,TAUY,iav,3.271800184287682e-05
default,Tropical rain forest,CTL2010,TAUY_mean_Tropical rain forest,TAUY,mean,-0.0034360911903516395
default,Tropical rain forest,CTL2010,TAUY_iav_Tropical rain forest,TAUY,iav,0.0004769509425152969
default,Tropical seasonal forest/savanna,CTL2010,TAUY_mean_Tropical seasonal forest/savanna,TAUY,mean,-0.017282631353139514
default,Tropical seasonal forest/savanna,CTL2010,TAUY_iav_Tropical seasonal forest/savanna,TAUY,iav,0.00035615730277931205
default,Subtropical desert,CTL2010,TAUY_mean_Subtropical desert,TAUY,mean,-0.00784056342161311
default,Subtropical desert,CTL2010,TAUY_iav_Subtropical desert,TAUY,iav,0.0002536064708174277
default,Temperate rain forest,CTL2010,TAUY_mean_Temperate rain forest,TAUY,mean,-0.0006003477183080996
